wavelength	dark	baseline
226.15622390483284	2817.0	3015.0
226.62508164821026	2798.0	2994.0
227.0939110109042	2800.0	3029.0
227.56271199307366	2813.0	3023.0
228.03148459487758	2807.0	3048.0
228.5002288164749	2800.0	3052.0
228.96894465802464	2803.0	3090.0
229.4376321196857	2810.0	3116.0
229.90629120161705	2789.0	3139.0
230.37492190397768	2813.0	3174.0
230.84352422692655	2807.0	3220.0
231.31209817062256	2796.0	3231.0
231.78064373522471	2797.0	3283.0
232.24916092089194	2804.0	3352.0
232.71764972778323	2796.0	3420.0
233.18611015605757	2804.0	3487.0
233.6545422058738	2782.0	3553.0
234.122945877391	2806.0	3664.0
234.59132117076808	2807.0	3742.0
235.059668086164	2803.0	3850.0
235.52798662373772	2796.0	3942.0
235.99627678364817	2806.0	4087.0
236.4645385660544	2797.0	4206.0
236.93277197111524	2790.0	4356.0
237.40097699898976	2810.0	4476.0
237.86915364983687	2801.0	4643.0
238.33730192381555	2810.0	4828.0
238.80542182108468	2802.0	4926.0
239.27351334180332	2799.0	5120.0
239.74157648613038	2822.0	5311.0
240.20961125422477	2797.0	5510.0
240.6776176462456	2795.0	5699.0
241.14559566235164	2802.0	5911.0
241.61354530270202	2806.0	6086.0
242.08146656745555	2796.0	6259.0
242.5493594567713	2812.0	6527.0
243.01722397080817	2807.0	6646.0
243.48506010972517	2809.0	6795.0
243.95286787368119	2802.0	7021.0
244.42064726283522	2805.0	7239.0
244.88839827734623	2803.0	7491.0
245.35612091737318	2813.0	7653.0
245.823815183075	2802.0	7826.0
246.29148107461066	2797.0	8084.0
246.75911859213912	2799.0	8149.0
247.22672773581934	2814.0	8323.0
247.69430850581028	2812.0	8460.0
248.16186090227094	2795.0	8704.0
248.62938492536023	2806.0	8796.0
249.0968805752371	2803.0	9000.0
249.56434785206048	2809.0	9158.0
250.0317867559894	2794.0	9307.0
250.49919728718282	2809.0	9440.0
250.96657944579965	2814.0	9612.0
251.43393323199888	2802.0	9715.0
251.9012586459394	2798.0	9905.0
252.36855568778032	2801.0	9946.0
252.8358243576804	2797.0	10034.0
253.3030646557988	2821.0	10116.0
253.77027658229431	2809.0	10311.0
254.237460137326	2798.0	10382.0
254.70461532105276	2799.0	10467.0
255.17174213363356	2794.0	10559.0
255.63884057522742	2810.0	10668.0
256.1059106459933	2809.0	10807.0
256.57295234609	2796.0	10857.0
257.0399656756766	2813.0	10912.0
257.50695063491213	2803.0	10905.0
257.97390722395534	2798.0	11038.0
258.44083544296547	2818.0	11188.0
258.9077352921013	2794.0	11328.0
259.37460677152166	2812.0	11219.0
259.84144988138576	2809.0	11291.0
260.30826462185246	2791.0	11308.0
260.7750509930807	2817.0	11313.0
261.2418089952295	2817.0	11466.0
261.7085386284577	2814.0	11372.0
262.17523989292437	2800.0	11300.0
262.64191278878843	2797.0	11339.0
263.1085573162089	2821.0	11264.0
263.57517347534457	2796.0	11392.0
264.04176126635457	2802.0	11510.0
264.50832068939775	2806.0	11496.0
264.9748517446332	2791.0	11570.0
265.4413544322197	2799.0	11662.0
265.9078287523164	2809.0	11622.0
266.37427470508203	2796.0	11704.0
266.84069229067575	2803.0	11753.0
267.3070815092564	2800.0	11682.0
267.77344236098304	2791.0	11749.0
268.23977484601454	2800.0	11668.0
268.70607896450997	2805.0	11818.0
269.1723547166281	2812.0	11826.0
269.63860210252807	2806.0	11907.0
270.1048211223687	2788.0	11828.0
270.5710117763091	2795.0	11937.0
271.03717406450806	2805.0	11894.0
271.5033079871246	2803.0	12023.0
271.9694135443178	2813.0	11934.0
272.4354907362465	2810.0	11914.0
272.9015395630696	2810.0	12102.0
273.36756002494616	2792.0	11979.0
273.8335521220352	2803.0	12112.0
274.2995158544955	2793.0	12085.0
274.76545122248615	2801.0	12156.0
