Wavelength (nm)	Absorbance	Absorbance (normalized)
300.34821982977365	0.043132186029857925	0.8614836243639402
300.8125670411594	0.043102203878695095	0.8608847877357447
301.276885897136	0.04275521007295423	0.853954244309889
301.7411763978626	0.04272443748456092	0.8533396201965552
302.205438543498	0.042083049529681185	0.8405291117650747
302.6696723342012	0.04226550472797549	0.8441733084456233
303.1338777701312	0.04210160891693837	0.8408998003399574
303.598054851447	0.041748024080710745	0.8338376135756503
304.0622035783074	0.04107511735252716	0.8203975774018932
304.5263239508714	0.04126551497239686	0.8242004088958709
304.9904159692982	0.04184132924827112	0.835701207406247
305.4544796337465	0.04133561269879124	0.8256004780867107
305.91851494437526	0.04066527124263509	0.8122116783583629
306.38252190134347	0.040882748641774776	0.8165553771044016
306.8465005048102	0.0405014129531048	0.8089389196736612
307.3104507549344	0.04038709351260846	0.8066556055808123
307.77437265187484	0.04036862416169726	0.8062867153112463
308.2382661957906	0.04039214130330927	0.8067564256302708
308.70213138684073	0.04047789563357325	0.8084692058010313
309.16596822518403	0.040289415581643534	0.8047046740912579
309.6297767109795	0.04028317555915917	0.8045800414722004
310.09355684438617	0.040543950647299494	0.8097885294706507
310.55730862556294	0.039932460012982667	0.7975751633369573
311.0210320546688	0.03943637223621116	0.7876667504976838
311.48472713186266	0.039132163013631524	0.7815907480078627
311.9483938573036	0.03853772178241655	0.7697179113782335
312.4120322311503	0.03853324656321298	0.76962852735893
312.87564225356203	0.039860096151813705	0.7961298324002183
313.3392239246976	0.03931455237558145	0.7852336297322473
313.802777244716	0.03959546956637051	0.7908444180449555
314.2663022137761	0.038685523196738715	0.7726699644218767
314.729798832037	0.038561310783847676	0.7701890569609102
315.19326709965765	0.03911431396458747	0.7812342470921015
315.6567070167969	0.03873275307408584	0.77361329168172
316.1201185836137	0.03812478870340551	0.7614703559789432
316.5835018002672	0.03792226237239464	0.7574252764739843
317.0468566669162	0.03825925111378705	0.7641559877074544
317.5101831837196	0.03806151131354121	0.7602065100800431
317.97348135083644	0.037899647342579446	0.756973584127844
318.43675116842576	0.03722266587547044	0.7434521627690939
318.89999263664646	0.037082516543987545	0.7406529455730606
319.3632057556574	0.036576086169199745	0.7305379589462953
319.8263905256176	0.03673153192003238	0.7336426931193164
320.2895469466862	0.03725588204386355	0.7441155927602935
320.7526750190219	0.03656280876551665	0.7302727679795233
321.21577474278376	0.03640662044893652	0.7271532024634798
321.6788461181307	0.03705382464972763	0.7400798793803837
322.1418891452218	0.03645416212300732	0.7281027572717624
322.6049038242158	0.036541102543182734	0.7298392273398704
323.0678901552719	0.03648114922502715	0.7286417734714524
323.5308481385489	0.03602507233895772	0.7195325023198119
323.99377777420585	0.03612399496316481	0.7215082941971426
324.45667906240163	0.03596867290345633	0.7184060305198281
324.9195520032952	0.03594250320951264	0.717883340496786
325.3823965970456	0.03551846868050892	0.7094140546804356
325.84521284381174	0.03520655232928185	0.7031841169073444
326.3080007437526	0.03536603452349938	0.7063694713845388
326.77076029702704	0.03539394912083562	0.7069270125447938
327.23349150379414	0.03523551769358914	0.7037626451457629
327.6961943642128	0.035421634834485786	0.7074799821873459
328.15886887844204	0.0357274309885739	0.7135876806254847
328.6215150466407	0.035375436587361406	0.7065572597853989
329.0841328689678	0.034956153433313666	0.69818287367596
329.54672234558234	0.03449404367233246	0.6889531072853062
330.0092834766433	0.03419684432048033	0.6830171136736921
330.4718162623096	0.033794875609280135	0.6749885507347655
330.9343207027401	0.03445109392517363	0.6880952675115434
331.39679679809376	0.03439898481278788	0.6870544867820397
331.8592445485298	0.03479371599653068	0.6949384938311799
332.32166395420694	0.0341079061142493	0.6812407416166008
332.78405501528414	0.0343213043542083	0.6855029668914275
333.2464177319205	0.03374817996787613	0.6740558938250617
333.7087521042748	0.03409555714472388	0.6809940943619682
334.1710581325062	0.033443658541629895	0.6679736556588877
334.63333581677347	0.03350601058047903	0.6692190194255748
335.09558515723563	0.03322626282505074	0.6636315883671388
335.5578061540517	0.03332398814637881	0.6655834663893525
336.01999880738066	0.033941913707330025	0.6779253579829936
336.48216311738133	0.0331732121116051	0.6625720009415862
336.9442990842128	0.03404615718646237	0.6800074238499806
337.4064067080338	0.03286953298998171	0.6565065862133809
337.8684859890036	0.033954583026596236	0.6781784036163674
338.33053692728106	0.033979509284636555	0.6786762583645918
338.792559523025	0.034196180027843935	0.683003845687671
339.25455377639446	0.03421933932411465	0.6834664087244197
339.7165196875485	0.03433111113726756	0.6856988387909707
340.178457256646	0.0334785005826056	0.6686695593725346
340.6403664838458	0.033820214831894034	0.6754946536674334
341.102247369307	0.033048628130979064	0.6600836721195451
341.5640999131886	0.03262347247659904	0.6515919939492743
342.0259241156495	0.033428216814064306	0.6676652364257689
342.4877199768485	0.032961768630791734	0.6583488182747881
342.94948749694487	0.0333285398921136	0.6656743788810354
343.41122667609733	0.033158645556055424	0.6622810616103015
343.8729375144649	0.033557569295424076	0.6702488070096645
344.3346200122066	0.03353393513062289	0.6697767593742932
344.7962741694812	0.033987952739937946	0.6788449003768191
345.2578999864479	0.033985098048108855	0.6787878833195644
345.7194974632656	0.033388472918987395	0.6668714274695684
346.1810666000931	0.03297453474152818	0.658603797134279
346.6426073970895	0.03285832379967073	0.6562827038877207
347.10411985441374	0.032326145247226316	0.6456534462266216
347.56560397222484	0.03308835376865487	0.6608771164187716
348.0270597506816	0.03337268777830382	0.6665561492104733
348.48848718994304	0.03316968627582051	0.6625015790562002
348.94988629016814	0.03315768785800351	0.6622619334073543
349.411257051516	0.032833019369984076	0.6557772958778129
