wavelength	dark	baseline
377.501290989005	2740.16	20005.38
377.96090505040115	2737.28	20249.64
378.4204907829342	2737.78	20527.94
378.8800481867633	2741.42	20847.58
379.3395772620473	2739.5	21285.86
379.79907800894523	2740.24	21479.94
380.25855042761594	2737.26	21052.82
380.7179945182184	2739.58	20818.38
381.17741028091166	2736.34	20821.3
381.6367977158547	2738.66	20536.48
382.09615682320634	2737.12	20387.94
382.5554876031256	2741.16	20589.32
383.01479005577147	2739.04	20738.24
383.4740641813028	2739.92	20530.1
383.9333099798788	2739.14	20319.44
384.3925274516582	2739.34	20398.98
384.8517165968	2737.02	20389.82
385.31087741546315	2739.06	20314.24
385.77000990780664	2738.94	20208.06
386.2291140739895	2738.34	20082.3
386.68818991417055	2739.16	20095.84
387.14723742850884	2741.82	20322.06
387.60625661716335	2733.3	20582.78
388.06524748029295	2734.82	20873.74
388.5242100180566	2740.96	21121.6
388.9831442306133	2737.2	21139.82
389.4420501181221	2739.34	20845.7
389.9009276807418	2740.52	20293.38
390.3597769186314	2736.96	20107.02
390.81859783194983	2737.64	20226.44
391.27739042085625	2737.28	20461.32
391.73615468550935	2738.32	20782.74
392.1948906260683	2739.98	21371.86
392.6535982426919	2738.96	22233.28
393.1122775355392	2738.76	23105.32
393.57092850476914	2736.52	23244.62
394.0295511505406	2733.56	22090.08
394.48814547301265	2739.82	21179.0
394.9467114723442	2736.82	21080.2
395.4052491486942	2734.92	21040.48
395.8637585022217	2736.3	20708.76
396.3222395330855	2736.44	20661.5
396.7806922414447	2740.74	20884.54
397.2391166274582	2737.94	21228.28
397.69751269128494	2744.66	21801.94
398.1558804330839	2741.48	22689.48
398.614219853014	2734.46	23405.68
399.0725309512343	2737.72	23807.54
399.53081372790365	2736.3	23004.24
399.989068183181	2740.08	22213.94
400.44729431722544	2739.02	21800.86
400.9054921301958	2742.82	21351.06
401.36366162225113	2740.26	21209.14
401.8218027935503	2739.12	21006.5
402.27991564425236	2738.16	20690.58
402.7380001745162	2738.98	20663.42
403.1960563845008	2740.58	20715.96
403.6540842743651	2738.58	20656.06
404.11208384426806	2737.36	20630.96
404.5700550943687	2737.74	20873.1
405.02799802482593	2737.12	21237.72
405.48591263579874	2737.48	21622.72
405.9437989274459	2740.86	21732.86
406.40165689992676	2739.3	21174.54
406.8594865533999	2733.92	20336.62
407.31728788802445	2736.02	19895.9
407.77506090395934	2737.98	19892.44
408.2328056013635	2737.14	20106.72
408.69052198039606	2737.74	20505.48
409.14821004121575	2737.08	20835.16
409.6058697839816	2738.84	20529.34
410.06350120885253	2735.1	20104.4
410.52110431598766	2737.74	19886.82
410.97867910554584	2734.74	19812.32
411.436225577686	2740.5	19868.84
411.8937437325671	2736.4	19969.38
412.3512335703482	2735.28	20068.0
412.80869509118816	2734.64	20406.78
413.26612829524595	2738.86	20615.76
413.7235331826805	2737.78	20575.68
414.1809097536509	2737.38	20541.22
414.638258008316	2745.12	20209.7
415.09557794683474	2736.68	19885.68
415.5528695693661	2741.94	19744.36
416.0101328760691	2737.42	19683.88
416.4673678671027	2737.92	19749.66
416.92457454262575	2740.26	19779.2
417.38175290279725	2741.38	19649.04
417.8389029477762	2738.64	19605.88
418.29602467772156	2739.6	19563.56
418.75311809279225	2740.4	19551.52
419.21018319314726	2740.98	19593.06
419.66721997894547	2737.74	19692.4
420.124228450346	2736.6	19920.68
420.5812086075077	2737.26	20422.68
421.0381604505895	2737.78	21240.18
